"Country,""BMI &gt";= 30 (crude estimate);2014; 18+  years;" Both sexes"",""BMI &gt";= 30 (crude estimate);2014; 18+  years;" Female"",""BMI &gt";= 30 (crude estimate);2014; 18+  years;" Male"",""BMI &gt";= 30 (crude estimate);2010; 18+  years;" Both sexes"",""BMI &gt";= 30 (crude estimate);2010; 18+  years;" Female"",""BMI &gt";= 30 (crude estimate);2010; 18+  years;" Male"""
"Afghanistan,""2.4 [1.2-3.5]"",""3.3 [1.8-5.4]"",""1.5 [0.7-2.9]"",""1.9 [1.1-2.7]"",""2.7 [1.5-4.2]"",""1.2 [0.6-2.2]""";;;;;;;;;;;;;;;;;;;;;;;;
"Albania,""18.1 [13.5-22.8]"",""19.4 [12.6-27.2]"",""16.7 [10.8-23.7]"",""16.5 [12.8-20.2]"",""18.2 [12.8-24.3]"",""14.9 [10.4-20]""";;;;;;;;;;;;;;;;;;;;;;;;
"Algeria,""23.6 [18.8-28.1]"",""29.3 [22-37]"",""18 [12.3-24.3]"",""20.7 [17.3-24.2]"",""26.3 [20.8-32.2]"",""15.3 [11.4-19.7]""";;;;;;;;;;;;;;;;;;;;;;;;
"Andorra,""32.1 [26.4-37.6]"",""33.4 [25-42.5]"",""30.7 [22.9-38.7]"",""29.4 [24.5-33.9]"",""31.1 [24.3-38.3]"",""27.6 [21.9-33.7]""";;;;;;;;;;;;;;;;;;;;;;;;
"Angola,""8.5 [5-11.8]"",""11.9 [6.8-18.5]"",""5.1 [2.4-9.3]"",""7 [4.2-9.6]"",""9.9 [6-14.9]"",""3.9 [2-6.6]""";;;;;;;;;;;;;;;;;;;;;;;;
"Antigua and Barbuda,""31 [24.1-38.6]"",""39 [28.8-49.6]"",""22.8 [14.4-32.7]"",""27.8 [22.4-33.2]"",""36.3 [28.1-44.9]"",""19.2 [13.1-26.5]""";;;;;;;;;;;;;;;;;;;;;;;;
"Argentina,""26.5 [21.3-31.4]"",""29.4 [22.2-37.4]"",""23.6 [16.6-31.2]"",""23.7 [19.8-27.6]"",""26.5 [20.8-32.6]"",""20.8 [15.8-26.3]""";;;;;;;;;;;;;;;;;;;;;;;;
"Armenia,""19.9 [15-24.8]"",""22.9 [16-30.7]"",""17.1 [10.8-24.4]"",""17.8 [14.2-21.3]"",""21.1 [15.7-27.1]"",""14.7 [9.9-20]""";;;;;;;;;;;;;;;;;;;;;;;;
"Australia,""29.9 [25.9-33.9]"",""30.5 [24.8-36.2]"",""29.4 [23.7-35.5]"",""27.1 [24.2-29.8]"",""27.7 [23.6-31.7]"",""26.5 [22.6-30.6]""";;;;;;;;;;;;;;;;;;;;;;;;
"Austria,""20.1 [15.3-24.8]"",""18.1 [12.2-25]"",""22.1 [15.4-29.8]"",""18.2 [14.2-22]"",""16.6 [12-21.8]"",""19.9 [15-25.5]""";;;;;;;;;;;;;;;;;;;;;;;;
"Azerbaijan,""22.2 [16.2-27.4]"",""25.9 [18.5-34.1]"",""18.5 [11.9-26.1]"",""18.6 [14.9-22.6]"",""22.4 [16.7-28.7]"",""14.8 [9.8-20]""";;;;;;;;;;;;;;;;;;;;;;;;
"Bahamas,""36.6 [30.8-42.4]"",""43.2 [34.2-51.9]"",""29.8 [21.7-38.6]"",""33.6 [29.1-38.4]"",""40.6 [33.1-47.9]"",""26.4 [20.4-33.3]""";;;;;;;;;;;;;;;;;;;;;;;;
"Bahrain,""34.1 [28.4-39.8]"",""41.3 [32.9-49.5]"",""29.7 [22.4-37.5]"",""31.1 [26.8-35.2]"",""38.2 [31.8-44.7]"",""26.8 [21.2-32.6]""";;;;;;;;;;;;;;;;;;;;;;;;
"Bangladesh,""3.3 [2-4.6]"",""4.6 [2.7-7]"",""2 [0.9-3.5]"",""2.6 [1.8-3.4]"",""3.6 [2.3-5.2]"",""1.6 [0.8-2.6]""";;;;;;;;;;;;;;;;;;;;;;;;
"Barbados,""33.2 [26.1-40.2]"",""40.7 [30.8-50.6]"",""25.6 [16.9-35.6]"",""29.8 [25-34.9]"",""37.9 [30.2-46]"",""21.6 [15.2-28.8]""";;;;;;;;;;;;;;;;;;;;;;;;
"Belarus,""25.2 [19.7-31.4]"",""27.8 [18.7-37.3]"",""22.1 [14.8-30.5]"",""22.4 [17.7-27.3]"",""25.5 [18.3-33.1]"",""18.7 [13.4-24.8]""";;;;;;;;;;;;;;;;;;;;;;;;
"Belgium,""22.1 [17.6-26.9]"",""20.2 [14-27.4]"",""24 [17.5-31.1]"",""20.4 [17-23.6]"",""18.7 [13.9-24]"",""22.1 [17.2-27.2]""";;;;;;;;;;;;;;;;;;;;;;;;
"Belize,""20.6 [15.5-25.4]"",""26.4 [18.8-34.6]"",""14.8 [9.4-21.5]"",""18.5 [14.7-22.4]"",""24.2 [18.3-30.8]"",""12.9 [9-17.7]""";;;;;;;;;;;;;;;;;;;;;;;;
"Benin,""8.1 [5.9-10.1]"",""12.4 [8.8-16.7]"",""3.7 [2-6]"",""6.8 [5.4-8.3]"",""10.6 [8-13.5]"",""3.1 [1.9-4.7]""";;;;;;;;;;;;;;;;;;;;;;;;
"Bhutan,""5.9 [3.9-8]"",""7.5 [4.6-11.3]"",""4.6 [2.5-7.6]"",""4.7 [3.4-6.2]"",""6.2 [4.1-8.9]"",""3.5 [2.1-5.5]""";;;;;;;;;;;;;;;;;;;;;;;;
"Bolivia (Plurinational State of),""15.8 [11.5-19.8]"",""20.6 [14.3-27.9]"",""11.1 [6.4-17]"",""14 [10.8-17.2]"",""18.3 [13.5-23.8]"",""9.7 [6.1-13.8]""";;;;;;;;;;;;;;;;;;;;;;;;
"Bosnia and Herzegovina,""19.2 [13.8-24.8]"",""21.2 [13.7-30.1]"",""17.1 [10.7-25.2]"",""18.1 [13.7-22.1]"",""20.7 [14.4-28.1]"",""15.3 [10.3-21.5]""";;;;;;;;;;;;;;;;;;;;;;;;
"Botswana,""19.5 [14.8-24]"",""28.2 [20.4-36.5]"",""10.9 [6.5-16.8]"",""16.7 [13.1-20.3]"",""25 [18.7-31.7]"",""8.4 [5.4-12.2]""";;;;;;;;;;;;;;;;;;;;;;;;
"Brazil,""20.1 [16-24]"",""22.9 [17.4-29.2]"",""17.2 [11.9-23]"",""17.4 [14.7-20.2]"",""20.1 [16.1-24.5]"",""14.7 [11.1-18.6]""";;;;;;;;;;;;;;;;;;;;;;;;
