Series Name,Series Code,Country Name,Country Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Afghanistan,AFG,253.807970929642,344.539166436407,345.147219306477,415.289064336361,510.455959014319,559.309927773406,623.236804324723,597.934625767252
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Albania,ALB,2715.17263334491,3196.47452993412,3781.27243780534,3501.35034816929,3479.64471222528,3759.45693106631,3575.76696652678,3768.68193302027
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Algeria,DZA,2058.43941493741,2528.63875564791,3039.77903082362,2810.24717616249,3264.32251302962,3885.73016313981,3942.20284065525,4053.47057861391
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,American Samoa,ASM,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Andorra,ADO,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Angola,AGO,645.044660104689,1052.30212522343,976.027564344791,1889.18202167586,1742.74197316038,2171.22570619292,2564.40640986002,2940.32230633792
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Argentina,ARG,5138.65711568465,6575.29769550637,8148.10674215182,7690.45911693897,9383.15605993008,11274.0903662912,12211.7866835757,12457.8465712879
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Armenia,ARM,1958.05973366038,2872.67070315632,3708.28923533508,2687.73983633564,2872.05862327596,3084.51165611557,3026.16439708053,3178.7256051905
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Aruba,ABW,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Australia,AUS,27586.6780982704,30675.8049322883,36910.3539631565,32882.7055065127,39280.0689166669,47002.9590911791,52168.1665104865,52465.8572286523
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Austria,AUT,33731.5715792888,38739.528260265,43001.7700751388,39178.874817186,38751.8317210587,42345.817586527,40172.8328413865,41354.1589295641
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Azerbaijan,AZE,967.181208475114,1430.58602190046,2291.21792872894,2760.76282736441,3193.34995101643,4090.8874970407,4445.76649968407,5105.86153643684
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Bahamas, The",BHS,21431.0608312486,22008.2597114418,21735.9125521593,20037.8396181042,19692.9246634342,19356.8907069564,19923.4980419656,20025.2969359097
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bahrain,BHR,11803.94663488,13394.8149016695,12777.8024753068,12196.2155819982,12850.9455944845,12319.3408715479,13975.3739719125,14625.2573816598
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bangladesh,BGD,463.886704951606,509.659172093818,582.197851933971,663.604217909067,735.35002655594,810.930820003234,840.882928890424,931.044457422831
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Barbados,BRB,14201.1743387063,15047.6133657903,14772.3132144642,15136.8180715353,14756.1666893181,14428.1772438053,13852.6321379846,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Belarus,BLR,3466.12318805336,4231.6502032738,5685.84690451629,4541.8241955443,5116.02470130952,5576.80788902062,5826.45035367878,6577.09671002921
